公告,#genre#
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192 
凤凰中文,http://115.199.52.77:8888/rtp/233.50.200.191:5140 
凤凰中文,http://xeace.cn:8888/rtp/239.93.1.9:2192 
凤凰中文,http://171.213.195.171:5555/rtp/239.93.1.9:2192 
凤凰中文,http://60.178.151.155:4022/rtp/233.50.200.191:5140 
凤凰中文,http://171.213.206.59:8000/rtp/239.93.1.9:2192 
凤凰中文,http://wouu.net:9977/rtp/239.93.1.9:2192 
凤凰中文,http://171.213.203.138:8088/rtp/239.93.1.9:2192 
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD 
凤凰中文,http://171.213.196.163:8888/rtp/239.93.1.9:2192 
凤凰中文,http://60.189.55.49:9999/rtp/233.50.200.191:5140 
凤凰中文,http://122.246.184.212:9999/rtp/233.50.200.191:5140 
凤凰中文,http://xeace.cn:8888/rtp/239.93.1.9:2192 
凤凰中文,http://wouu.net:9977/rtp/239.93.1.9:2192 
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk 
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk 
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct 
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn 
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct 
翡翠台,http://ali.hlspull.yximgs.com/live/d6d46a6239bb3a5dc5c78b4f19073acb.flv 
翡翠台,http://ali.hlspull.yximgs.com/live/eef70b3b32a1f3056808c866fa4c1c9a.flv 
翡翠台,http://ali.hlspull.yximgs.com/live/9c1130b2aa6e678dd24cf70f7eb04a1e.flv 
翡翠台,http://ali.hlspull.yximgs.com/live/a427d9822e7e088eeef8431e1e9a3c93.flv 
翡翠台,mitv://147.135.39.171:9906/66430d4f000a06ccb0b20a650b4b5d65 
翡翠台,mitv://135.148.104.228:19806/2c1ef45c2c174f5c8df4d049e1cbccfd 
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt 
明珠台,mitv://135.148.104.228:19806/066930b0d2764f05a9b8a0019efe82fe 
明珠台,mitv://135.148.104.228:19806/6ea5ab8d22f04024b3fac9bfb2b243aa 
央视频道,#genre#
CCTV-4K,http://43.136.119.99/cqyx.php?id=cctv4k 
CCTV16-4K,http://43.136.119.99/cqyx.php?id=cctv16_4k 
CCTV1-高码,http://49.234.186.50:35455/ysptp/cctv1.m3u8 
CCTV1-高码,http://1.14.19.228:35455/ysptp/cctv1.m3u8 
CCTV1,http://49.234.186.50:35455/itv/6000000001000029752.m3u8?cdn=wasusyt 
